Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep) 
 08/01  02:25:00,19,63.5833333333333,0,0,24.3189420087607,47.5170384311892,15,25.5900001525879,70.0612370565093,63.4354299124786,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:30:00,19,63.5,0,0,24.2938835036243,47.6683842990941,15,25.5900001525879,70.4474340714085,63.4677753292847,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:35:00,19,63.4166666666667,0,0,24.2683558246038,47.8163082700585,15,25.5900001525879,70.8039958208876,63.4930610178643,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:40:00,19,63.3333333333333,0,0,24.2423882111678,47.9609584648138,15,25.5900001525879,71.1338103972826,63.5118560290872,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:45:00,19,63.25,0,0,24.2159877099991,48.1025179272213,15,25.5900001525879,71.4395864307155,63.5247365822885,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:50:00,19,63.1666666666667,0,0,24.1891529723365,48.2411741046671,15,25.5900001525879,71.7237288652002,63.532277802868,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:55:00,19,63.0833333333333,0,0,24.1618851845117,48.3771023305202,15,25.5900001525879,71.9883720715852,63.535006286302,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:00:00,19,63,0,0,24.1341914668955,48.5104461219355,15,25.5900001525879,72.2354475553291,63.5333632075561,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:05:00,18.925,63.3333333333333,0,0,24.100069190595,48.6531235459904,15,25.5900001525879,72.4839401072128,63.5478889120072,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:10:00,18.85,63.6666666666667,0,0,24.0615457752373,48.8031568132454,15,25.5667495727539,72.7357030616551,63.5853523733237,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
